rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0304.jpg,121.6,0.5312,0.6343,0.5,0.32,8,3,False,False
76,frame_0128.jpg,51.2,0.5248,0.5136,0.3333,0.84,8,2,False,False
77,frame_0233.jpg,93.2,0.5247,0.5533,0.6667,0.24,7,4,False,False
78,frame_0170.jpg,68.0,0.5246,0.6572,0.3333,0.48,8,2,False,False
79,frame_0013.jpg,5.2,0.5245,0.5489,0.1667,1.0,4,1,False,False
80,frame_0207.jpg,82.8,0.523,0.5261,0.3333,0.8,4,2,False,False
81,frame_0033.jpg,13.2,0.5221,0.5442,0.1667,1.0,11,1,False,False
82,frame_0004.jpg,1.6,0.5205,0.441,0.3333,1.0,9,2,False,False
83,frame_0375.jpg,150.0,0.5197,0.6594,0.5,0.2,8,3,False,False
84,frame_0384.jpg,153.6,0.5187,0.6734,0.5,0.16,10,3,False,False
85,frame_0090.jpg,36.0,0.5178,0.4915,0.6667,0.36,8,4,False,False
86,frame_0302.jpg,120.8,0.5146,0.6692,0.3333,0.4,9,2,False,False
87,frame_0174.jpg,69.6,0.5099,0.5919,0.5,0.32,7,3,False,False
88,frame_0370.jpg,148.0,0.5018,0.6875,0.5,0.04,9,3,False,False
89,frame_0192.jpg,76.8,0.5012,0.5223,0.6667,0.2,6,4,False,False
90,frame_0180.jpg,72.0,0.501,0.67,0.5,0.08,8,3,False,False
91,frame_0318.jpg,127.2,0.5006,0.6052,0.5,0.24,11,3,False,False
92,frame_0231.jpg,92.4,0.4961,0.7283,0.3333,0.16,9,2,False,False
93,frame_0029.jpg,11.6,0.4949,0.4898,0.1667,1.0,5,1,False,False
94,frame_0073.jpg,29.2,0.4937,0.4874,0.1667,1.0,6,1,False,False
95,frame_0214.jpg,85.6,0.4929,0.5779,0.3333,0.52,4,2,False,False
96,frame_0018.jpg,7.2,0.492,0.384,0.3333,1.0,7,2,False,False
97,frame_0071.jpg,28.4,0.4916,0.4832,0.1667,1.0,7,1,False,False
98,frame_0091.jpg,36.4,0.49,0.552,0.5,0.32,4,3,False,False
99,frame_0006.jpg,2.4,0.489,0.478,0.1667,1.0,4,1,False,False
100,frame_0068.jpg,27.2,0.4876,0.4752,0.1667,1.0,5,1,False,False
101,frame_0222.jpg,88.8,0.4876,0.5951,0.5,0.2,8,3,False,False
102,frame_0398.jpg,159.2,0.4872,0.5784,0.5,0.24,9,3,False,False
103,frame_0124.jpg,49.6,0.4842,0.3964,0.5,0.68,10,3,False,False
104,frame_0279.jpg,111.6,0.4839,0.5237,0.5,0.36,6,3,False,False
105,frame_0114.jpg,45.6,0.4825,0.6531,0.3333,0.28,7,2,False,False
106,frame_0008.jpg,3.2,0.482,0.4639,0.1667,1.0,4,1,False,False
107,frame_0094.jpg,37.6,0.4814,0.5828,0.5,0.2,5,3,False,False
108,frame_0212.jpg,84.8,0.48,0.4201,0.5,0.6,5,3,False,False
109,frame_0078.jpg,31.2,0.4775,0.419,0.3333,0.84,8,2,False,False
110,frame_0113.jpg,45.2,0.4753,0.5547,0.5,0.24,8,3,False,False
111,frame_0120.jpg,48.0,0.4749,0.4418,0.5,0.52,5,3,False,False
112,frame_0009.jpg,3.6,0.4738,0.5477,0.0,1.0,3,0,False,False
113,frame_0089.jpg,35.6,0.4701,0.6802,0.1667,0.4,6,1,False,False
114,frame_0268.jpg,107.2,0.4696,0.7073,0.3333,0.08,6,2,False,False
115,frame_0172.jpg,68.8,0.4694,0.6788,0.1667,0.4,8,1,False,False
116,frame_0102.jpg,40.8,0.4691,0.5902,0.5,0.12,8,3,False,False
117,frame_0084.jpg,33.6,0.4689,0.5977,0.1667,0.6,4,1,False,False
118,frame_0395.jpg,158.0,0.4669,0.5858,0.5,0.12,8,3,False,False
119,frame_0306.jpg,122.4,0.4656,0.6352,0.3333,0.24,8,2,False,False
120,frame_0386.jpg,154.4,0.4642,0.5325,0.5,0.24,14,3,False,False
121,frame_0026.jpg,10.4,0.4628,0.4256,0.1667,1.0,6,1,False,False
122,frame_0012.jpg,4.8,0.4611,0.4221,0.1667,1.0,5,1,False,False
123,frame_0327.jpg,130.8,0.4588,0.8016,0.1667,0.04,10,1,False,False
124,frame_0295.jpg,118.0,0.4579,0.5437,0.1667,0.68,7,1,False,False
125,frame_0017.jpg,6.8,0.4548,0.4095,0.1667,1.0,7,1,False,False
126,frame_0315.jpg,126.0,0.4536,0.5592,0.5,0.12,8,3,False,False
127,frame_0289.jpg,115.6,0.4516,0.3992,0.3333,0.76,6,2,False,False
128,frame_0206.jpg,82.4,0.4513,0.3986,0.3333,0.76,5,2,False,False
129,frame_0324.jpg,129.6,0.4487,0.5654,0.5,0.08,8,3,False,False
130,frame_0283.jpg,113.2,0.4464,0.3848,0.5,0.52,7,3,False,False
131,frame_0284.jpg,113.6,0.445,0.566,0.1667,0.56,6,1,False,False
132,frame_0108.jpg,43.2,0.4449,0.5738,0.5,0.04,12,3,False,False
133,frame_0383.jpg,153.2,0.4426,0.5373,0.5,0.12,9,3,False,False
134,frame_0083.jpg,33.2,0.4417,0.3275,0.5,0.64,5,3,False,False
135,frame_0126.jpg,50.4,0.4414,0.4788,0.1667,0.76,8,1,False,False
136,frame_0015.jpg,6.0,0.4409,0.3817,0.1667,1.0,5,1,False,False
137,frame_0095.jpg,38.0,0.44,0.716,0.1667,0.16,6,1,False,False
138,frame_0330.jpg,132.0,0.4387,0.7613,0.1667,0.04,11,1,False,False
139,frame_0196.jpg,78.4,0.4381,0.7323,0.0,0.36,2,0,False,False
140,frame_0116.jpg,46.4,0.4377,0.4313,0.5,0.36,8,3,False,False
141,frame_0173.jpg,69.2,0.4369,0.5298,0.3333,0.36,8,2,False,False
142,frame_0382.jpg,152.8,0.4363,0.6406,0.3333,0.08,9,2,False,False
143,frame_0079.jpg,31.6,0.4357,0.4513,0.1667,0.8,8,1,False,False
144,frame_0298.jpg,119.2,0.4334,0.5428,0.1667,0.56,6,1,False,False
145,frame_0010.jpg,4.0,0.4317,0.3633,0.1667,1.0,3,1,False,False
146,frame_0177.jpg,70.8,0.4315,0.783,0.0,0.2,7,0,False,False
147,frame_0280.jpg,112.0,0.4284,0.3967,0.5,0.4,6,3,False,False
148,frame_0003.jpg,1.2,0.4253,0.3506,0.1667,1.0,7,1,False,False
149,frame_0303.jpg,121.2,0.4248,0.5056,0.3333,0.36,8,2,False,False
150,frame_0320.jpg,128.0,0.4246,0.5532,0.3333,0.24,13,2,False,False
151,frame_0210.jpg,84.0,0.4243,0.4765,0.1667,0.68,3,1,False,False
152,frame_0202.jpg,80.8,0.423,0.5059,0.1667,0.6,5,1,False,False
153,frame_0208.jpg,83.2,0.4226,0.3413,0.3333,0.76,5,2,False,False
154,frame_0181.jpg,72.4,0.4224,0.6289,0.3333,0.04,6,2,False,False
155,frame_0185.jpg,74.0,0.4223,0.5125,0.5,0.08,10,3,False,False
156,frame_0019.jpg,7.6,0.4168,0.3336,0.1667,1.0,3,1,False,False
157,frame_0232.jpg,92.8,0.416,0.552,0.3333,0.2,8,2,False,False
158,frame_0100.jpg,40.0,0.4149,0.6138,0.3333,0.04,4,2,False,False
159,frame_0027.jpg,10.8,0.4144,0.3287,0.1667,1.0,5,1,False,False
160,frame_0209.jpg,83.6,0.4144,0.4407,0.1667,0.72,3,1,False,False
161,frame_0168.jpg,67.2,0.412,0.4,0.3333,0.56,6,2,False,False
162,frame_0385.jpg,154.0,0.4112,0.6423,0.1667,0.2,11,1,False,False
163,frame_0332.jpg,132.8,0.4092,0.6025,0.3333,0.04,8,2,False,False
164,frame_0194.jpg,77.6,0.4084,0.4048,0.5,0.28,7,3,False,False
165,frame_0225.jpg,90.0,0.408,0.484,0.5,0.08,7,3,False,False
166,frame_0171.jpg,68.4,0.4078,0.4397,0.3333,0.44,9,2,False,False
167,frame_0310.jpg,124.0,0.4013,0.4706,0.5,0.08,8,3,False,False
168,frame_0397.jpg,158.8,0.401,0.622,0.1667,0.2,8,1,False,False
169,frame_0105.jpg,42.0,0.4004,0.7687,0.0,0.08,7,0,False,False
170,frame_0131.jpg,52.4,0.3996,0.3152,0.1667,0.96,7,1,False,False
171,frame_0293.jpg,117.2,0.3985,0.3929,0.1667,0.76,7,1,False,False
172,frame_0305.jpg,122.0,0.398,0.584,0.1667,0.28,8,1,False,False
173,frame_0023.jpg,9.2,0.3976,0.2952,0.1667,1.0,6,1,False,False
174,frame_0230.jpg,92.0,0.3976,0.5472,0.3333,0.12,13,2,False,False
175,frame_0130.jpg,52.0,0.3973,0.3265,0.1667,0.92,5,1,False,False
176,frame_0106.jpg,42.4,0.3958,0.5756,0.3333,0.04,9,2,False,False
177,frame_0024.jpg,9.6,0.3941,0.2881,0.1667,1.0,4,1,False,False
178,frame_0300.jpg,120.0,0.3938,0.4955,0.1667,0.48,8,1,False,False
179,frame_0323.jpg,129.2,0.3933,0.4386,0.5,0.12,7,3,False,False
180,frame_0381.jpg,152.4,0.3928,0.5697,0.3333,0.04,8,2,False,False
181,frame_0309.jpg,123.6,0.3915,0.5351,0.3333,0.12,10,2,False,False
182,frame_0020.jpg,8.0,0.39,0.38,0.0,1.0,5,0,False,False
183,frame_0119.jpg,47.6,0.3888,0.3857,0.3333,0.48,5,2,False,False
184,frame_0317.jpg,126.8,0.3859,0.4918,0.3333,0.2,9,2,False,False
185,frame_0394.jpg,157.6,0.3855,0.5391,0.3333,0.08,8,2,False,False
186,frame_0325.jpg,130.0,0.3853,0.4547,0.5,0.04,8,3,False,False
187,frame_0311.jpg,124.4,0.3843,0.5526,0.3333,0.04,7,2,False,False
188,frame_0169.jpg,67.6,0.3839,0.5598,0.0,0.52,7,0,False,False
189,frame_0070.jpg,28.0,0.3838,0.3675,0.0,1.0,8,0,False,False
190,frame_0276.jpg,110.4,0.3827,0.4695,0.3333,0.24,11,2,False,False
191,frame_0184.jpg,73.6,0.3826,0.5333,0.3333,0.08,8,2,False,False
192,frame_0085.jpg,34.0,0.382,0.44,0.1667,0.56,8,1,False,False
193,frame_0273.jpg,109.2,0.382,0.4159,0.5,0.12,8,3,False,False
194,frame_0125.jpg,50.0,0.381,0.4739,0.0,0.72,8,0,False,False
195,frame_0097.jpg,38.8,0.3776,0.5232,0.3333,0.08,8,2,False,False
196,frame_0292.jpg,116.8,0.3774,0.3347,0.1667,0.8,7,1,False,False
197,frame_0121.jpg,48.4,0.3755,0.327,0.3333,0.56,6,2,False,False
198,frame_0281.jpg,112.4,0.3702,0.3645,0.3333,0.44,6,2,False,False
199,frame_0221.jpg,88.4,0.3681,0.4402,0.3333,0.24,6,2,False,False
200,frame_0226.jpg,90.4,0.3676,0.5193,0.3333,0.04,5,2,False,False
201,frame_0117.jpg,46.8,0.3675,0.375,0.3333,0.4,6,2,False,False
202,frame_0213.jpg,85.2,0.3658,0.4075,0.1667,0.56,5,1,False,False
203,frame_0110.jpg,44.0,0.3645,0.381,0.5,0.12,5,3,False,False
204,frame_0297.jpg,118.8,0.3645,0.3889,0.1667,0.6,6,1,False,False
205,frame_0211.jpg,84.4,0.3644,0.3727,0.1667,0.64,4,1,False,False
206,frame_0372.jpg,148.8,0.3628,0.4777,0.3333,0.12,8,2,False,False
207,frame_0118.jpg,47.2,0.3587,0.4414,0.1667,0.44,6,1,False,False
208,frame_0389.jpg,155.6,0.3585,0.469,0.3333,0.12,10,2,False,False
209,frame_0271.jpg,108.4,0.3536,0.3911,0.5,0.04,6,3,False,False
210,frame_0399.jpg,159.6,0.3495,0.4869,0.1667,0.28,10,1,False,False
